model,accuracy,weighted_f1,macro_f1,top3_accuracy,num_samples,num_classes
No-FLS,0.6938775510204082,0.6810199002226296,0.4528109172763625,0.7510204081632653,245,56
FLS,0.726530612244898,0.7179237646088538,0.5112993876625684,0.763265306122449,245,56
