condition,N_rows,N_unique_samples,mean,median,std,q25,q75
clean,1225,245,0.1945421548047084,0.1774760484695434,0.09080042669005572,0.1275692135095596,0.2709504663944244
strong_peak_scaling,1225,245,0.2059901354336465,0.1975696980953216,0.0865396650715867,0.1333653330802917,0.2769655287265777
peak_elimination,1225,245,0.21163551368579572,0.2151185423135757,0.09026391167960644,0.136255532503128,0.2847753167152405
preferred_orientation_like,1225,245,0.21128885262170616,0.2047799825668335,0.08479199941682486,0.1367011070251464,0.2772145867347717
