model_name,configuration,checkpoint_path,fusion_mode,training_augmentation,peak_branch,fls_status,evaluation_split,num_samples,num_classes,accuracy,weighted_f1,macro_f1,top3_accuracy,mean_entropy,evidence_level,notes
cnn_only,CNN only,training_results/ablation/ablation1_model.pth,xrd_only,no,disabled,no_fls,raw 239 split,239,53,0.6359832635983264,0.6231635114913141,0.36255989917431924,0.7196652719665272,1.3773981745904922,confirmed,Corrected ablation mapping; xrd_only classifier input 12160; raw 239 split.
cnn_aug,CNN + Augmentation,training_results/ablation/ablation2_model.pth,xrd_only,yes,disabled,no_fls,legacy augmented 245 split,245,56,0.6612244897959184,0.6514612027297324,0.4285409241019052,0.7428571428571429,0.9458532802075527,confirmed,Corrected ablation mapping; xrd_only classifier input 12160; legacy augmented 245 split.
cnn_aug_peaks_concat,CNN + Augmentation + Peaks (Concat),training_results/ablation/ablation3_model.pth,concat,yes,enabled,no_fls,legacy augmented 245 split,245,56,0.6693877551020408,0.6680021194901293,0.4743690343380259,0.726530612244898,0.697544425813058,confirmed,Corrected ablation mapping; forced concat inference; gate parameters not used in logits.
cnn_aug_peaks_gate,CNN + Augmentation + Peaks (Gate),training_results/ablation/ablation4_model.pth,gate,yes,enabled,no_fls,legacy augmented 245 split,245,56,0.6938775510204082,0.6810199002226296,0.4528109172763625,0.7510204081632653,0.4005261317852739,confirmed,Corrected ablation mapping; gate fusion; no FLS.
cnn_aug_peaks_gate_fls_final,CNN + Augmentation + Peaks (Gate) + FLS,training_results/exp_results/exp_test4_model.pth,gate,yes,enabled,user_confirmed_fls,legacy augmented 245 split,245,56,0.726530612244898,0.7179237646088538,0.5112993876625684,0.763265306122449,1.8946176030809079,confirmed_with_user_evidence,"Final complete model; FLS status user-confirmed, no independent saved run config found."
