true_sg,label_index,class_count_train,class_frequency_group,num_test_samples,accuracy_no_fls,accuracy_fls,recall_no_fls,recall_fls,f1_no_fls,f1_fls,delta_accuracy,delta_recall,delta_f1
121,120,2,Tail,1,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.0,0.0,0.33333333333333337
9,8,2,Tail,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,52,1,Tail,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
71,70,2,Tail,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,84,1,Tail,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,141,1,Tail,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,222,1,Tail,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,223,1,Tail,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
