class_frequency_group,model,num_classes,num_samples,accuracy,precision,recall,macro_f1,weighted_f1,top3_accuracy
Tail,No-FLS,8,8,0.25,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.25,0.25
Tail,FLS,8,8,0.25,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.25,0.25
Medium,No-FLS,20,22,0.36363636363636365,0.25862068965517243,0.25862068965517243,0.2528735632183908,0.36363636363636365,0.5
Medium,FLS,20,22,0.5454545454545454,0.46153846153846156,0.4230769230769231,0.43589743589743585,0.5757575757575757,0.5454545454545454
Head,No-FLS,28,215,0.7441860465116279,0.5803847001763668,0.5462146135757248,0.5534028838059389,0.7500118781315758,0.7953488372093023
Head,FLS,28,215,0.7627906976744186,0.6243827160493827,0.5685490435490436,0.5733001765259831,0.7749065063468663,0.8046511627906977
