Group,No-FLS Accuracy,FLS Accuracy,Delta Accuracy,No-FLS Recall,FLS Recall,Delta Recall,No-FLS Macro F1,FLS Macro F1,Delta Macro F1,Number of classes,Number of samples
Tail,0.25,0.25,0.0,0.15384615384615385,0.14285714285714285,-0.010989010989011005,0.15384615384615385,0.14285714285714285,-0.010989010989011005,8,8
Medium,0.36363636363636365,0.5454545454545454,0.18181818181818177,0.25862068965517243,0.4230769230769231,0.16445623342175064,0.2528735632183908,0.43589743589743585,0.18302387267904507,20,22
Head,0.7441860465116279,0.7627906976744186,0.018604651162790753,0.5462146135757248,0.5685490435490436,0.022334429973318803,0.5534028838059389,0.5733001765259831,0.019897292720044146,28,215
