model_name,fls_status,perturbation_type,entropy_threshold_from_clean_median,correct_samples_mean_gate,incorrect_samples_mean_gate,low_entropy_samples_mean_gate,high_entropy_samples_mean_gate,pearson_gate_entropy,pearson_pvalue,spearman_gate_entropy,spearman_pvalue,n_samples
final_gate_fls_model,verified,clean,1.30205037122962,0.1818468849582786,0.2282698866355219,0.17224716509851376,0.2170198903281669,0.274518456310651,1.2808622577096358e-22,0.21175611388097826,6.941019712382728e-14,1225
final_gate_fls_model,verified,strong_peak_scaling,1.30205037122962,0.19115037938741886,0.23694055862325977,0.1814264228360283,0.21956399942928848,0.30760967749869844,2.936388810387066e-28,0.28843720196071904,6.704058356327932e-25,1225
final_gate_fls_model,verified,peak_elimination,1.30205037122962,0.19587885089854282,0.23703431340256162,0.17915996740941473,0.22452204744198795,0.3374896201656022,5.1651388327813146e-34,0.3416085912342098,7.382820731192461e-35,1225
final_gate_fls_model,verified,preferred_orientation_like,1.30205037122962,0.19507031272392542,0.23844959520161413,0.18312300796669836,0.22296499376621862,0.3168109468838115,5.8150344280110316e-30,0.32826977446769895,3.616276622374897e-32,1225
