model_name,fls_status,perturbation_type,seed,accuracy,weighted_f1,macro_f1,top3_accuracy,mean_predictive_entropy,median_predictive_entropy,mean_gate_weight,median_gate_weight,gate_std_across_samples,n_samples
final_gate_fls_model,verified,clean,0,0.726530612244898,0.7179237646088538,0.5112993876625684,0.763265306122449,1.8946176030809079,1.30205037122962,0.1945421548047084,0.17747604846954346,0.09076335772476722,245
final_gate_fls_model,verified,clean,1,0.726530612244898,0.7179237646088538,0.5112993876625684,0.763265306122449,1.8946176030809079,1.30205037122962,0.1945421548047084,0.17747604846954346,0.09076335772476722,245
final_gate_fls_model,verified,clean,2,0.726530612244898,0.7179237646088538,0.5112993876625684,0.763265306122449,1.8946176030809079,1.30205037122962,0.1945421548047084,0.17747604846954346,0.09076335772476722,245
final_gate_fls_model,verified,clean,3,0.726530612244898,0.7179237646088538,0.5112993876625684,0.763265306122449,1.8946176030809079,1.30205037122962,0.1945421548047084,0.17747604846954346,0.09076335772476722,245
final_gate_fls_model,verified,clean,4,0.726530612244898,0.7179237646088538,0.5112993876625684,0.763265306122449,1.8946176030809079,1.30205037122962,0.1945421548047084,0.17747604846954346,0.09076335772476722,245
final_gate_fls_model,verified,strong_peak_scaling,0,0.689795918367347,0.6703081672229332,0.46654424007365186,0.763265306122449,2.2908321551251425,1.7003023430572144,0.20371320382977018,0.19617246091365814,0.08444289643810417,245
final_gate_fls_model,verified,strong_peak_scaling,1,0.6775510204081633,0.6654364398678241,0.4620402245934128,0.7428571428571429,2.2687012519728973,1.39097368283362,0.20750187962334984,0.20122039318084717,0.08595231014695037,245
final_gate_fls_model,verified,strong_peak_scaling,2,0.6571428571428571,0.6446163211035117,0.4366218232541915,0.7551020408163265,2.2883604958710295,1.5483808960821537,0.20992639380868297,0.20382258296012878,0.08825976056460551,245
final_gate_fls_model,verified,strong_peak_scaling,3,0.673469387755102,0.6667818158643425,0.4607252185613457,0.7551020408163265,2.336766260157646,1.7387420061899381,0.20651088723418665,0.19000263512134552,0.0867121435987643,245
final_gate_fls_model,verified,strong_peak_scaling,4,0.6816326530612244,0.6697639356000433,0.4523962050522841,0.763265306122449,2.2873999526648916,1.7096594707767947,0.20229831267224282,0.19672071933746338,0.08689621468250522,245
final_gate_fls_model,verified,peak_elimination,0,0.6163265306122448,0.625072122755196,0.4277364741059594,0.726530612244898,2.5025704934568087,2.1210340981815365,0.212073455880187,0.2166503518819809,0.09019007595770469,245
final_gate_fls_model,verified,peak_elimination,1,0.636734693877551,0.6403750505823574,0.4500499780601171,0.7387755102040816,2.4830255520963216,2.272793383331245,0.20981639376176256,0.2102535516023636,0.08918675197058763,245
final_gate_fls_model,verified,peak_elimination,2,0.6081632653061224,0.613191573641184,0.40277103086908506,0.726530612244898,2.548037015901625,2.290292013459907,0.2114549816319985,0.21476754546165466,0.09042246400204831,245
final_gate_fls_model,verified,peak_elimination,3,0.6,0.6120006752227227,0.43206151633398715,0.7183673469387755,2.4367175522837052,2.064964935260159,0.21676253012324476,0.22489500045776367,0.09088403831405006,245
final_gate_fls_model,verified,peak_elimination,4,0.6244897959183674,0.6136168083617063,0.45286669747876646,0.726530612244898,2.425482218605264,1.9546195763066208,0.20807020703178583,0.20835579931735992,0.09020767771695813,245
final_gate_fls_model,verified,preferred_orientation_like,0,0.6122448979591837,0.6076232397720993,0.40100254791182005,0.746938775510204,2.505171736152129,2.183776890788528,0.21239228373279376,0.20596158504486084,0.08460521789534022,245
final_gate_fls_model,verified,preferred_orientation_like,1,0.6081632653061224,0.5980488657666394,0.3514604392905161,0.7387755102040816,2.3871499417848683,1.9519929354236998,0.20994113590948435,0.20624272525310516,0.0850694832255841,245
final_gate_fls_model,verified,preferred_orientation_like,2,0.6612244897959184,0.6445817416781919,0.4279490694325096,0.7591836734693878,2.516888678953149,2.1332134008978474,0.20802792812488516,0.20093479752540588,0.08271312316523519,245
final_gate_fls_model,verified,preferred_orientation_like,3,0.6326530612244898,0.6335399996227641,0.4237875167835277,0.726530612244898,2.448620385658576,2.089434528299434,0.21376474543037463,0.20518170297145844,0.0869705368141027,245
final_gate_fls_model,verified,preferred_orientation_like,4,0.6163265306122448,0.6121920377417613,0.3805753670974795,0.7346938775510204,2.497803435143419,2.0400921270968095,0.2123181699109929,0.2051210254430771,0.08424973722609742,245
