epoch,train_loss,train_accuracy,train_weighted_f1,train_macro_f1,val_loss,val_accuracy,val_weighted_f1,val_macro_f1
1,3.716423664482529,0.30566534914361,0.2168482025065201,0.009218626722601897,2.941727389790574,0.3877551020408163,0.2642789115646259,0.022425287356321842
2,2.703991462433605,0.39920948616600793,0.3225692635164805,0.023705588749686608,2.537281009615684,0.44387755102040816,0.33225715124570093,0.048593506388320815
3,2.398085860552681,0.45849802371541504,0.37969080000460675,0.043328447115435126,2.384551250557558,0.47959183673469385,0.39667144368339347,0.09075307051251448
4,2.140289901116463,0.5177865612648221,0.45120264892786444,0.06626724015777219,2.2152718713528436,0.5102040816326531,0.4221608362706182,0.11749431701869276
5,1.9341676395401182,0.5375494071146245,0.48803553658429594,0.09168873874368451,2.092398918033649,0.5306122448979592,0.4564724285775012,0.1295753842202347
6,1.7461599524627405,0.5836627140974967,0.5234359698582849,0.10621105743117203,2.02525461536395,0.5561224489795918,0.49053919585605943,0.16515996103110442
7,1.5337852200343518,0.616600790513834,0.5698375880591706,0.1358879283172974,1.9581363524775952,0.5561224489795918,0.5042455163883734,0.18368438075334628
8,1.342014460224408,0.6534914361001317,0.6020664401096735,0.17015611092610586,1.9034805971159772,0.5918367346938775,0.5639216024755767,0.2598702091137475
9,1.1694617221163823,0.7035573122529645,0.6668455286138643,0.22681585787637112,1.982260626977148,0.5714285714285714,0.5199927659458922,0.24784978781071285
10,1.0347498005086726,0.7246376811594203,0.6880497091353835,0.24645610086412784,1.9935633400740216,0.6122448979591837,0.5710578196353014,0.2829018877090181
11,0.8559752653238801,0.7536231884057971,0.7249089907635128,0.30685867432055847,2.2283403940345803,0.6071428571428571,0.5704904680777191,0.3157488086067964
12,0.74719210450043,0.7865612648221344,0.7625692167443655,0.3493984321413681,2.073646790357497,0.6020408163265306,0.5612309209398044,0.2956590682249911
13,0.6881051586550686,0.8010540184453228,0.7758396413983288,0.4123529529633535,2.142977100853966,0.6020408163265306,0.5618061396771581,0.2833581787022774
14,0.5307486287375841,0.847167325428195,0.8316497386881828,0.5273875923663419,2.2560775759920944,0.6071428571428571,0.5809680567659291,0.35235868124083775
15,0.47529014831161,0.8629776021080369,0.8461328912244972,0.6073986787807879,2.269424842310326,0.5969387755102041,0.5678321286743603,0.3106058433343618
