epoch,train_loss,train_accuracy,train_weighted_f1,train_macro_f1,val_loss,val_accuracy,val_weighted_f1,val_macro_f1
1,3.9184879257444996,0.26525198938992045,0.19015377266980016,0.007639899358016254,3.8918002332959856,0.32589285714285715,0.21433103395635955,0.014273201340957784
2,2.9058446118939143,0.3806366047745358,0.2987727652562559,0.015855011252338947,3.2104761941092357,0.33482142857142855,0.24015144607134611,0.013859665308111634
3,2.5773678578495662,0.4323607427055703,0.3715133200124242,0.03406454625898402,3.1039652143205916,0.3705357142857143,0.2974584315214356,0.03442622554802755
4,2.3596466359156194,0.46021220159151194,0.4043561476594212,0.042411828832622435,2.8942294801984514,0.4330357142857143,0.3672619876436248,0.062392806732141495
5,2.195023613519947,0.513262599469496,0.45085334465782545,0.06235504661006611,2.7362680435180664,0.45535714285714285,0.3803427446132554,0.06879495823661513
6,2.0186715571886666,0.5344827586206896,0.47421165406403526,0.07173934126910819,2.62780955859593,0.45982142857142855,0.39486032149760686,0.07497007978090967
7,1.9215625761674633,0.5424403183023873,0.4962697393089595,0.083517841078085,2.546065534864153,0.45982142857142855,0.38910631628133097,0.07638616510895982
8,1.735248196346374,0.596816976127321,0.5425828183036665,0.10786768596244238,2.439241818019322,0.48214285714285715,0.42043007543926664,0.09588238465013314
9,1.637459844746071,0.6061007957559682,0.5524093239812644,0.11186284672284322,2.3857501574925015,0.4955357142857143,0.44172082051546335,0.14790810509201313
10,1.5170983237360138,0.6140583554376657,0.5730882176293195,0.1411194992037783,2.370499644960676,0.4955357142857143,0.43502124977604406,0.13338436803442835
11,1.3989351140409312,0.6591511936339522,0.6130847020139728,0.17914843969124997,2.245591402053833,0.5133928571428571,0.4540395763568586,0.17865787976816053
12,1.2311650350176055,0.6962864721485411,0.6573106926610536,0.2082076024580462,2.2339729411261424,0.5357142857142857,0.47725839202020387,0.19371399633573186
13,1.1469017529677332,0.7068965517241379,0.6704361425808965,0.23280371950289197,2.1322650739124844,0.5491071428571429,0.4958340154243515,0.23396243903343292
14,1.0259212176426653,0.7374005305039788,0.7070696821956904,0.2999089081505588,2.0328827244894847,0.5535714285714286,0.5054660281765245,0.2688149387482557
15,0.8555665142656321,0.7798408488063661,0.7500344884747678,0.33582254892493074,2.0235298701695035,0.5892857142857143,0.5625428055837719,0.36538052886937267
16,0.7741669090736449,0.7917771883289124,0.7652525206928166,0.39162036824259083,1.9610964741025652,0.6116071428571429,0.5676034762466261,0.4285343448712583
17,0.6428907081998628,0.8183023872679045,0.795963909202329,0.4819127376984969,1.9958932059151786,0.6116071428571429,0.5849057779071477,0.4278091081523912
18,0.5747433415458436,0.8408488063660478,0.8227870088581619,0.5720831099230468,1.888869890144893,0.6339285714285714,0.609459811022311,0.4720044323492599
19,0.5588793879478616,0.850132625994695,0.8339113913020026,0.6000420348286203,2.053332030773163,0.6205357142857143,0.5901583064672946,0.47068205574796396
20,0.5161228896135993,0.8594164456233422,0.8441599333704589,0.6061224308794264,1.9158342352935247,0.6651785714285714,0.6329458234919951,0.5040324353944292
21,0.43420662385083003,0.8779840848806366,0.8684125474095659,0.7004172346627371,1.9613324808222907,0.6383928571428571,0.604946607676318,0.47778575844125104
22,0.3345731334360588,0.8925729442970822,0.8847588303320215,0.7404063384806789,1.972188161952155,0.65625,0.6342451429232788,0.5367787991841818
23,0.3966353073992843,0.8846153846153846,0.8759002856603585,0.7288670004906588,1.9821431572948183,0.6517857142857143,0.624303825759408,0.5027151240422755
24,0.2954478293103944,0.9177718832891246,0.9096233977266601,0.7883100873530564,2.103781210524695,0.6607142857142857,0.6382574328359739,0.5449360623430368
25,0.2640780155949631,0.9283819628647215,0.9214539542450025,0.8319781456544761,2.0293076474751746,0.65625,0.6321096572940518,0.5329871619739843
26,0.23991950192249106,0.9323607427055703,0.9271894340886936,0.822536693396278,2.2087508040879453,0.6696428571428571,0.6469821101517531,0.5537857975357975
27,0.2260905503040916,0.9336870026525199,0.9276971261169926,0.8042891383907909,2.0417466424405575,0.65625,0.6334752290497632,0.5368929310458546
28,0.17492754682305636,0.946949602122016,0.9424831741718788,0.8769666259726369,2.029664025775024,0.6473214285714286,0.6195214143349647,0.5259120978187914
29,0.21999023392282682,0.9376657824933687,0.9336732471935091,0.8531821444730375,2.212819209854518,0.6607142857142857,0.6366284459247845,0.5470185183039281
30,0.17353534188605746,0.9509283819628647,0.9490264199597311,0.8826081596742499,2.153400425932237,0.6607142857142857,0.632280115401316,0.5316352087628683
31,0.16438014959466868,0.946949602122016,0.9433429451486653,0.8606300306363788,2.293073070900781,0.6696428571428571,0.6462503557428371,0.5537866373392689
32,0.13876807760812876,0.9588859416445623,0.9552321449850492,0.8785807600944564,2.287076382565179,0.6651785714285714,0.6432948110562907,0.5507262943823095
33,0.12991203755061254,0.946949602122016,0.9445224987002883,0.8939142965312792,2.2484511071816087,0.6696428571428571,0.6484684957899243,0.5680510777101687
34,0.14521129449103176,0.9562334217506632,0.9526372256165664,0.889663675784459,2.2836593313674842,0.6830357142857143,0.6523369929495537,0.5809164559191248
35,0.10214252117774214,0.9748010610079576,0.9707631657058144,0.9132206986680266,2.2307868722294057,0.6830357142857143,0.6642856180933912,0.5882230514583456
36,0.14569820443894566,0.9575596816976127,0.9566115904821814,0.9203557202051258,2.158787788557155,0.6696428571428571,0.6500041135548539,0.5840053741231201
37,0.154513697527764,0.9602122015915119,0.957397618254301,0.9146242447053661,2.2969232790970375,0.6830357142857143,0.661061107595412,0.5770339170398979
38,0.14712931113984604,0.9628647214854111,0.9614062394321,0.9219259761810548,2.1838182897107408,0.6607142857142857,0.6384832835393246,0.5349240768365526
39,0.1410960262586963,0.9615384615384616,0.960520634884065,0.9364284012154102,2.4890634878871163,0.6875,0.6674087271855128,0.5902477194522648
40,0.14935593073817083,0.9496021220159151,0.9458086518745721,0.8822669501944572,2.1627702192137286,0.6785714285714286,0.6597030686704599,0.5839244946291423
41,0.12822368646173957,0.9655172413793104,0.9641363714306935,0.9249355923409187,2.113984788169286,0.6696428571428571,0.6459354484800913,0.5650965322556232
42,0.0918458542472804,0.9708222811671088,0.970993136440547,0.9444792907615241,2.183373897086962,0.6696428571428571,0.65345748001998,0.5737066595021141
43,0.06386359939129346,0.9814323607427056,0.9803297615685749,0.964923442942925,2.3043811856103793,0.6517857142857143,0.6236817706625037,0.5272679506830223
44,0.0827159590880814,0.9774535809018567,0.9756705248495093,0.9387381166388006,2.4294467684812844,0.6741071428571429,0.651700482057625,0.5718050787016303
45,0.10863056529896328,0.9721485411140584,0.9702243221002729,0.9208147743719277,2.2622268784658184,0.6696428571428571,0.6455140469649399,0.5570932131593896
46,0.07392654095625688,0.9734748010610079,0.970963804779371,0.9244041854349535,2.2824960513847015,0.6741071428571429,0.6542318872987477,0.568301562778307
47,0.07891060019638241,0.9774535809018567,0.9763427887060921,0.9567020012283678,2.453041180276029,0.6696428571428571,0.641581202598422,0.5641375567539292
48,0.08579985975270563,0.9748010610079576,0.9738167105817335,0.940793940430148,2.296034326427616,0.6607142857142857,0.6386446708700202,0.5819450165027377
49,0.09138199549652537,0.9721485411140584,0.9704494142520284,0.9286570786192552,2.217903335911355,0.6696428571428571,0.643671346015096,0.5790680902749868
50,0.06733290704871363,0.9734748010610079,0.9725197396821049,0.94445992873523,2.27931084157899,0.6696428571428571,0.6497998918598409,0.6024678751279736
51,0.10727042141580455,0.9681697612732095,0.9676845605083793,0.9516386652921632,2.3692193311289884,0.6607142857142857,0.6403658092431422,0.571515562036797
52,0.07398561287463817,0.980106100795756,0.9794341340262295,0.9654561963969465,2.403866282497932,0.6651785714285714,0.6460645665657864,0.5682936164980856
53,0.06176150801643453,0.980106100795756,0.9781188628818764,0.936754764949001,2.3060728161030317,0.6696428571428571,0.6470979205035328,0.5717650495247898
54,0.06381795320175687,0.9787798408488063,0.9786178704020909,0.9678900678708283,2.447943704310871,0.6741071428571429,0.6513483465938823,0.5681442988829353
55,0.08691875118791899,0.9774535809018567,0.9761626547305278,0.9549775210156234,2.2651746453151906,0.6607142857142857,0.6393506751290756,0.5767809206363864
