group,num_samples,mean_entropy,median_entropy,std_entropy,mean_max_probability,median_max_probability,mean_gate,median_gate
correct,178,1.334577926117078,1.2213462657678293,1.0360415104538196,0.8026005976069509,0.8486948311328888,0.1818468849582786,0.14469087123870844
incorrect,67,3.382484207551978,3.92148601699224,1.4129177861345332,0.3599313733849063,0.2487289011478424,0.22826988663552186,0.2540427148342132
