category_type,category,num_total,num_retained,num_rejected,rejected_percentage_within_category,category_percentage_in_rejected_set,error_rate_in_category,mean_entropy,mean_gate
correctness,correct,178,168,10,0.056179775280898875,0.20408163265306123,0.0,1.334577926117078,0.1818468849582786
correctness,incorrect,67,28,39,0.582089552238806,0.7959183673469388,1.0,3.382484207551978,0.22826988663552186
class_frequency_group,Head,215,177,38,0.17674418604651163,0.7755102040816326,0.23720930232558135,1.7881789279008462,0.18573214728601797
class_frequency_group,Medium,22,15,7,0.3181818181818182,0.14285714285714285,0.4545454545454546,2.585768511275002,0.24908630041913551
class_frequency_group,Tail,8,4,4,0.5,0.08163265306122448,0.75,2.854492001011307,0.28131470642983913
symmetry_level,High symmetry,87,85,2,0.022988505747126436,0.04081632653061224,0.09195402298850575,1.3356718181627227,0.1435364610194389
symmetry_level,Low symmetry,112,74,38,0.3392857142857143,0.7755102040816326,0.4196428571428571,2.3715548298918603,0.20226044999435544
symmetry_level,Medium symmetry,46,37,9,0.1956521739130435,0.1836734693877551,0.26086956521739135,1.7905157310168962,0.2722170743281427
true_crystal_system,cubic,87,85,2,0.022988505747126436,0.04081632653061224,0.09195402298850575,1.3356718181627227,0.1435364610194389
true_crystal_system,hexagonal,7,7,0,0.0,0.0,0.0,1.3400512461125402,0.31492185805525097
true_crystal_system,monoclinic,51,33,18,0.35294117647058826,0.3673469387755102,0.4901960784313726,2.645756089171962,0.20639479131090874
true_crystal_system,orthorhombic,48,35,13,0.2708333333333333,0.2653061224489796,0.35416666666666663,1.8978150505516869,0.18683528543139497
true_crystal_system,tetragonal,25,19,6,0.24,0.12244897959183673,0.28,1.8595956910819098,0.2858760643005371
true_crystal_system,triclinic,13,6,7,0.5384615384615384,0.14285714285714285,0.3846153846153846,3.0450352287413316,0.24299556475419265
true_crystal_system,trigonal,14,11,3,0.21428571428571427,0.061224489795918366,0.3571428571428571,1.8923909019244078,0.22647362894245554
