model_name,dataset,perturbation_type,accuracy,weighted_f1,macro_f1,top3_accuracy,n_samples,n_classes_evaluated,mean_predictive_entropy,mean_gate_weight,notes
candidate_ablation1,opxrd,clean,0.6359832635983264,0.6231635114913141,0.36255989917431924,0.7196652719665272,239,53,1.3773981745904922,,Mean gate weight unavailable.
candidate_ablation2,opxrd,clean,0.9079497907949791,0.9078092624915821,0.8196027110618761,0.9581589958158996,239,53,0.5541862019241974,,Mean gate weight unavailable.
candidate_ablation3,opxrd,clean,0.9288702928870293,0.9325833576301005,0.8854631570874606,0.9539748953974896,239,53,1.007167284826512,0.501209699456067,
candidate_ablation4,opxrd,clean,0.9414225941422594,0.9445117030318527,0.856213947395448,0.9581589958158996,239,53,0.10961225309237932,0.8829254023849372,
candidate_exp_test4,opxrd,clean,0.9497907949790795,0.9503235669230519,0.9204553358093912,0.9581589958158996,239,53,1.0459894637365756,0.18504362756903764,
candidate_npjt_topk,opxrd,clean,0.8117154811715481,0.7981049649784319,0.6154520219791156,0.9288702928870293,239,53,1.066441490294019,0.4408520310736402,
