Training command: scripts/revision/train_missing_ablation.py --device cuda:0 --epochs 300 --batch-size 64 --learning-rate 5e-4 --patience 25 --seed 42 --num-workers 0 --output-dir revision_outputs/missing_ablation_training
{
  "model_name": "cnn_aug_fls_no_peak",
  "num_classes": 230,
  "random_seed": 42,
  "batch_size": 64,
  "learning_rate": 0.0005,
  "num_epochs": 300,
  "early_stopping": true,
  "early_stopping_patience": 25,
  "best_checkpoint_metric": "validation_weighted_f1",
  "best_checkpoint_split": "validation",
  "device": "cuda:0",
  "output_dir": "revision_outputs/missing_ablation_training/cnn_aug_fls_no_peak",
  "use_xrd_branch": true,
  "use_peak_branch": false,
  "fusion_mode": "xrd_only",
  "use_augmentation": true,
  "use_fls": true,
  "focal_loss_gamma": 1.5,
  "label_smoothing": 0.1,
  "dataset_npz": "revision_outputs/configs/opxrd_legacy_augmented_seed42.npz",
  "split_file": "revision_outputs/missing_ablation_training/configs/splits/legacy_augmented_train_val_test_seed42.json",
  "train_split": "legacy_augmented_train",
  "val_split": "legacy_augmented_validation",
  "test_split": "legacy_augmented_test_245",
  "evaluation_split": "legacy augmented 245 split"
}
epoch=39 train_loss=0.1411 train_acc=0.9615 val_loss=2.4891 val_acc=0.6875 val_wf1=0.6674 val_mf1=0.5902
epoch=40 train_loss=0.1494 train_acc=0.9496 val_loss=2.1628 val_acc=0.6786 val_wf1=0.6597 val_mf1=0.5839
epoch=41 train_loss=0.1282 train_acc=0.9655 val_loss=2.1140 val_acc=0.6696 val_wf1=0.6459 val_mf1=0.5651
epoch=42 train_loss=0.0918 train_acc=0.9708 val_loss=2.1834 val_acc=0.6696 val_wf1=0.6535 val_mf1=0.5737
epoch=43 train_loss=0.0639 train_acc=0.9814 val_loss=2.3044 val_acc=0.6518 val_wf1=0.6237 val_mf1=0.5273
epoch=44 train_loss=0.0827 train_acc=0.9775 val_loss=2.4294 val_acc=0.6741 val_wf1=0.6517 val_mf1=0.5718
epoch=45 train_loss=0.1086 train_acc=0.9721 val_loss=2.2622 val_acc=0.6696 val_wf1=0.6455 val_mf1=0.5571
epoch=46 train_loss=0.0739 train_acc=0.9735 val_loss=2.2825 val_acc=0.6741 val_wf1=0.6542 val_mf1=0.5683
epoch=47 train_loss=0.0789 train_acc=0.9775 val_loss=2.4530 val_acc=0.6696 val_wf1=0.6416 val_mf1=0.5641
epoch=48 train_loss=0.0858 train_acc=0.9748 val_loss=2.2960 val_acc=0.6607 val_wf1=0.6386 val_mf1=0.5819
epoch=49 train_loss=0.0914 train_acc=0.9721 val_loss=2.2179 val_acc=0.6696 val_wf1=0.6437 val_mf1=0.5791
epoch=50 train_loss=0.0673 train_acc=0.9735 val_loss=2.2793 val_acc=0.6696 val_wf1=0.6498 val_mf1=0.6025
epoch=51 train_loss=0.1073 train_acc=0.9682 val_loss=2.3692 val_acc=0.6607 val_wf1=0.6404 val_mf1=0.5715
epoch=52 train_loss=0.0740 train_acc=0.9801 val_loss=2.4039 val_acc=0.6652 val_wf1=0.6461 val_mf1=0.5683
epoch=53 train_loss=0.0618 train_acc=0.9801 val_loss=2.3061 val_acc=0.6696 val_wf1=0.6471 val_mf1=0.5718
epoch=54 train_loss=0.0638 train_acc=0.9788 val_loss=2.4479 val_acc=0.6741 val_wf1=0.6513 val_mf1=0.5681
epoch=55 train_loss=0.0869 train_acc=0.9775 val_loss=2.2652 val_acc=0.6607 val_wf1=0.6394 val_mf1=0.5768
epoch=56 train_loss=0.0805 train_acc=0.9814 val_loss=2.3677 val_acc=0.6786 val_wf1=0.6498 val_mf1=0.5791
epoch=57 train_loss=0.0729 train_acc=0.9775 val_loss=2.2877 val_acc=0.6786 val_wf1=0.6545 val_mf1=0.5818
epoch=58 train_loss=0.0742 train_acc=0.9788 val_loss=2.3632 val_acc=0.6652 val_wf1=0.6414 val_mf1=0.5813
epoch=59 train_loss=0.0818 train_acc=0.9748 val_loss=2.4010 val_acc=0.6786 val_wf1=0.6499 val_mf1=0.5639
epoch=60 train_loss=0.0711 train_acc=0.9735 val_loss=2.1860 val_acc=0.6830 val_wf1=0.6591 val_mf1=0.5830
epoch=61 train_loss=0.0524 train_acc=0.9854 val_loss=2.4956 val_acc=0.6786 val_wf1=0.6546 val_mf1=0.5752
epoch=62 train_loss=0.0666 train_acc=0.9801 val_loss=2.5265 val_acc=0.6652 val_wf1=0.6396 val_mf1=0.5750
epoch=63 train_loss=0.0592 train_acc=0.9828 val_loss=2.3816 val_acc=0.6696 val_wf1=0.6520 val_mf1=0.5673
epoch=64 train_loss=0.0414 train_acc=0.9894 val_loss=2.4265 val_acc=0.6786 val_wf1=0.6624 val_mf1=0.5840
Early stopping at epoch 64; best_epoch=39; best_validation_weighted_f1=0.6674087271855128
