Model,Training Augmentation,Peak Branch,Fusion,FLS,Evaluation Split,Accuracy,Weighted F1,Macro F1,Top-3 Accuracy,Evidence Level,Checkpoint,Notes
CNN only,no,disabled,xrd_only,no_fls,raw 239 split,0.6359832635983264,0.6231635114913141,0.3625598991743192,0.7196652719665272,confirmed,training_results/ablation/ablation1_model.pth,Corrected ablation mapping; xrd_only classifier input 12160; raw 239 split.
Peaks only / MLP branch only,no,enabled,peak_only,no_fls,raw 239 split,0.5188284518828452,0.5115143853565437,0.189328240130856,0.6108786610878661,new_training_validation_selected,revision_outputs/missing_ablation_training/peaks_only_mlp/best_checkpoint.pth,Best checkpoint selected on validation weighted F1; final evaluation run once on fixed test split.
CNN + Augmentation,yes,disabled,xrd_only,no_fls,legacy augmented 245 split,0.6612244897959184,0.6514612027297324,0.4285409241019052,0.7428571428571429,confirmed,training_results/ablation/ablation2_model.pth,Corrected ablation mapping; xrd_only classifier input 12160; legacy augmented 245 split.
"CNN + Peaks, no augmentation, concat",no,enabled,concat,no_fls,raw 239 split,0.602510460251046,0.601800028707278,0.3557320875415883,0.7405857740585774,new_training_validation_selected,revision_outputs/missing_ablation_training/cnn_peaks_concat_no_aug/best_checkpoint.pth,Best checkpoint selected on validation weighted F1; final evaluation run once on fixed test split.
"CNN + Peaks (Gate), no augmentation",no,enabled,gate,no_fls,raw 239 split,0.6234309623430963,0.6377428812070276,0.3764431328136763,0.6903765690376569,new_training_validation_selected,revision_outputs/missing_ablation_training/cnn_peaks_gate_no_aug/best_checkpoint.pth,Best checkpoint selected on validation weighted F1; final evaluation run once on fixed test split.
"CNN + Augmentation + FLS, no peak branch",yes,disabled,xrd_only,fls,legacy augmented 245 split,0.6612244897959184,0.6556656522308546,0.4313768376722371,0.7224489795918367,new_training_validation_selected,revision_outputs/missing_ablation_training/cnn_aug_fls_no_peak/best_checkpoint.pth,Best checkpoint selected on validation weighted F1; final evaluation run once on fixed test split.
CNN + Augmentation + Peaks (Concat),yes,enabled,concat,no_fls,legacy augmented 245 split,0.6693877551020408,0.6680021194901293,0.4743690343380259,0.726530612244898,confirmed,training_results/ablation/ablation3_model.pth,Corrected ablation mapping; forced concat inference; gate parameters not used in logits.
CNN + Augmentation + Peaks (Gate),yes,enabled,gate,no_fls,legacy augmented 245 split,0.6938775510204082,0.6810199002226296,0.4528109172763625,0.7510204081632653,confirmed,training_results/ablation/ablation4_model.pth,Corrected ablation mapping; gate fusion; no FLS.
CNN + Augmentation + Peaks (Gate) + FLS,yes,enabled,gate,user_confirmed_fls,legacy augmented 245 split,0.726530612244898,0.7179237646088538,0.5112993876625684,0.763265306122449,confirmed_with_user_evidence,training_results/exp_results/exp_test4_model.pth,"Final complete model; FLS status user-confirmed, no independent saved run config found."
