epoch,train_loss,train_accuracy,train_weighted_f1,train_macro_f1,val_loss,val_accuracy,val_weighted_f1,val_macro_f1
1,3.6922129959614067,0.31357048748353095,0.2382215266769158,0.011974835737519372,3.0268012984674804,0.4030612244897959,0.292384110317241,0.03347932738981895
2,2.7137234336616807,0.391304347826087,0.3234078926287791,0.02662726434933063,2.55588005213257,0.47959183673469385,0.3902713367731375,0.08039194161709375
3,2.4005775087278667,0.46903820816864294,0.3970074008279645,0.04737241129258815,2.2743944711543675,0.5153061224489796,0.4330124963114042,0.10250453381037783
4,2.1079058629879053,0.5138339920948617,0.4540348833874137,0.07299655350692548,2.154670758221574,0.5255102040816326,0.4357416958739542,0.12864504354019582
5,1.930443853257673,0.544137022397892,0.496487803950075,0.09446387830279039,2.1579351610354416,0.5459183673469388,0.48348462861668146,0.15252341303051242
6,1.7352699104190972,0.5942028985507246,0.5332771646460595,0.11740723392332801,1.978862725369328,0.5663265306122449,0.503380596504974,0.18761322510729095
7,1.5384634576139085,0.6310935441370223,0.58570006726441,0.16338337515544352,1.9282171779255173,0.5714285714285714,0.5243731788722512,0.2290572019412145
8,1.3763545625922866,0.6587615283267457,0.6105919378969868,0.1702123650286685,1.8936747485731387,0.5663265306122449,0.5331868976579034,0.23589272531860062
9,1.2130036950896694,0.689064558629776,0.6560712395195271,0.228116231366138,1.8696435396179405,0.5918367346938775,0.5487991064587134,0.2819560076607783
10,1.0796259694262769,0.7088274044795784,0.6739870187816913,0.23452814857466395,1.9139099786561742,0.5918367346938775,0.5543094488158056,0.2611005361633282
11,0.8903989862547561,0.7523056653491436,0.7196606279846519,0.28158371064692017,1.8904543251005728,0.6173469387755102,0.5760614342171703,0.30531971479819076
12,0.8247010283790558,0.769433465085639,0.7486280613898451,0.3904022719610003,1.9299602500746282,0.6224489795918368,0.5752237843910631,0.3067774780586776
13,0.7077455896005643,0.7957839262187089,0.7712767067425988,0.4046485134858209,1.9483280071729736,0.6122448979591837,0.5856390000763335,0.31860994611580734
14,0.5927172062111152,0.841897233201581,0.8270489046322999,0.5262155733778815,2.02710196547114,0.6275510204081632,0.5967901845811121,0.3439513770042764
15,0.5977123829687065,0.8274044795783926,0.8108556703004391,0.560840211938887,2.189822345363479,0.6071428571428571,0.5774795575852183,0.31309937128522064
16,0.48865581454024487,0.8603425559947299,0.8451726204461351,0.61251629801305,2.1962806751462454,0.6326530612244898,0.6020074765543462,0.3771577241874546
17,0.3418512041232646,0.9143610013175231,0.9056363905242261,0.759584548741575,2.468589830628658,0.6326530612244898,0.6052624295747633,0.41223688290747984
18,0.37843388586019183,0.8866930171277997,0.876286459342167,0.6806587929296174,2.2738847052559676,0.6683673469387755,0.6323189282372955,0.4289492992882823
19,0.304813699171006,0.9090909090909091,0.898906839039936,0.7017124512902452,2.3561571574940974,0.6428571428571429,0.6083800186741364,0.3775128683952213
20,0.2358589131920077,0.9341238471673254,0.9263264611078957,0.8215762835175184,2.3187622506770174,0.6428571428571429,0.6075052120970488,0.4143294167884332
21,0.22441117785507825,0.9367588932806324,0.9328077803095586,0.8216676410824088,2.435975814960418,0.6326530612244898,0.5967757387190415,0.3789937226652082
22,0.22417045326729224,0.9262187088274044,0.9175022540034241,0.796689334505179,2.407324523287626,0.6122448979591837,0.5939758193080452,0.35472384850291827
